Question,Answer,Category
واش التدخين كيأثر على التنفس؟,نعم، التدخين يقدر يضر الجهاز التنفسي ويزيد مخاطر مشاكل صحية متعددة.,Respiratory
شنو الفرق بين الزكام والأنفلونزا؟,الزكام والأنفلونزا بجوج عدوى تنفسية ولكن الأنفلونزا غالبا كتكون بأعراض أقوى وبداية أسرع.,Respiratory
علاش كنحس بالتعب بزاف؟,التعب عندو أسباب كثيرة بحال قلة النوم أو المجهود أو أسباب صحية أخرى. إلا استمر خاص تقييم طبي.,General Medicine
واش القلق يقدر يدير خفقان القلب؟,القلق يقدر يرافقو إحساس بالخفقان عند بعض الناس، لكن الخفقان المتكرر أو القوي خاصو تقييم طبي.,Mental Health
شنو ندير إلا كان عندي ألم فالركبة من الرياضة؟,الراحة المؤقتة وتجنب المجهود اللي كيزيد الألم يمكن يساعد، لكن الألم المستمر أو التورم خاصو تقييم طبي.,Orthopedics
كنحس بدوخة ملي كنوقف بسرعة,الدوخة عند الوقوف بسرعة تقدر تكون مرتبطة بانخفاض مؤقت فضغط الدم أو أسباب أخرى. إلا تكررت خاص تقييم طبي.,Cardiology
شنو معنى ضغط الدم المرتفع؟,ضغط الدم المرتفع هو ملي كيبقى ضغط الدم أعلى من المستوى المتوقع بشكل متكرر وكيحتاج متابعة وقياسات صحيحة.,Cardiology
واش الوزن كيتأثر بالنوم؟,النوم كيدخل ضمن عوامل كثيرة كتأثر على الشهية والطاقة والوزن، مع التغذية والنشاط البدني.,Nutrition
عندي جفاف فالجلد,جفاف الجلد شائع وقد يتحسن بالترطيب وتجنب المهيجات. إلا كان شديد أو مع التهاب خاص تقييم جلدي.,Dermatology
واش الرياضة مهمة للقلب؟,النشاط البدني المنتظم كيقدر يكون مفيد لصحة القلب عند بزاف ديال الناس، مع مراعاة الحالة الصحية الفردية.,Cardiology
واش ألم الأسنان يقدر يمشي بوحدو؟,بعض الآلام كتخف مؤقتا ولكن السبب ديال ألم الأسنان يقدر يحتاج فحص عند طبيب الأسنان.,Dentistry
شنو أهمية الفطور؟,الفطور يقدر يساعد بعض الناس على تنظيم الطاقة خلال النهار، ولكن النظام الغذائي الكامل هو الأهم.,Nutrition
شنو ندير إلا كانت عندي سخانة؟,قياس الحرارة والراحة وشرب السوائل مهمين. إلا كانت الحرارة مرتفعة بزاف أو مستمرة أو مع أعراض خطيرة خاص استشارة طبية.,General Medicine
واش خاص نشرب الماء بزاف فالحر؟,فالأجواء الحارة كيزيد احتياج الجسم للسوائل، ولكن الكمية المناسبة كتختلف حسب النشاط والحالة الصحية.,General Medicine
عندي كحة خفيفة من يومين,الكحة الخفيفة تقدر تكون مرتبطة بعدوى بسيطة أو تهيج. إلا طالت أو تزادت أو جا معها ضيق نفس خاص تقييم طبي.,Respiratory
عندي ألم خفيف فالمعدة من بعد الماكلة,ألم المعدة من بعد الماكلة يقدر يكون عندو أسباب مختلفة. إلا تكرر بزاف أو كان قوي خاص تقييم طبي.,Gastroenterology
واش الصداع ديما كيعني شي مرض خطير؟,الصداع عندو أسباب كثيرة وماشي ديما كيعني مرض خطير. إلا كان قوي بزاف أو جا مع أعراض مقلقة خاص استشارة طبيب.,Neurology
واش السكر فالدم خاصو قياس منتظم؟,القياس المنتظم كيكون مهم خصوصا عند الأشخاص اللي عندهم مشاكل فسكر الدم وبحسب توصيات الطبيب.,Endocrinology
واش الأطفال خاصهم يشربو الماء بانتظام؟,نعم، الترطيب مهم للأطفال، والاحتياجات كتختلف حسب العمر والنشاط والجو.,Pediatrics
واش خاص ندير تحاليل كل عام؟,الحاجة للتحاليل كتختلف حسب العمر والتاريخ الصحي والأعراض وعوامل الخطر، والأفضل تتحدد مع الطبيب.,General Medicine
شنو هي أعراض الجفاف؟,الجفاف يقدر يسبب العطش وجفاف الفم وقلة البول والدوخة. الحالات الشديدة كتحتاج عناية طبية.,General Medicine
واش ألم الظهر كيحتاج الطبيب؟,إلا كان الألم خفيف ومؤقت ممكن يتحسن، ولكن الألم القوي أو المستمر أو المصحوب بأعراض أخرى خاصو تقييم طبي.,Rheumatology
كنحس بحريق فالمعدة,حريق المعدة يقدر يكون مرتبط بالحموضة أو أسباب أخرى. إلا تكرر أو كان قوي خاص استشارة مختص.,Gastroenterology
شنو هي أهمية الخضر والفواكه؟,الخضر والفواكه كيساهمو فتنوع النظام الغذائي وكيعطيو ألياف وفيتامينات ومعادن.,Nutrition
واش قلة النعاس كتأثر على الصحة؟,نعم، قلة النعاس تقدر تأثر على التركيز والمزاج والطاقة. تنظيم وقت النوم مهم للصحة العامة.,General Medicine
